object,replicate_number,replicate_value
"LowerBoundVarJobFindingProb",364,.0434087
"LowerBoundVarJobFindingProb",365,.0305925
"LowerBoundVarJobFindingProb",366,.0228266
"LowerBoundVarJobFindingProb",367,.0495286
"LowerBoundVarJobFindingProb",368,.0174377
"LowerBoundVarJobFindingProb",369,.0319353
"LowerBoundVarJobFindingProb",370,.0304647
"LowerBoundVarJobFindingProb",371,.0331194
"LowerBoundVarJobFindingProb",372,.0185378
"LowerBoundVarJobFindingProb",373,.020549
"LowerBoundVarJobFindingProb",374,.0285973
"LowerBoundVarJobFindingProb",375,.033041
"LowerBoundVarJobFindingProb",376,.0244376
"LowerBoundVarJobFindingProb",377,.0365565
"LowerBoundVarJobFindingProb",378,.0210836
"LowerBoundVarJobFindingProb",379,.0461619
"LowerBoundVarJobFindingProb",380,.0183259
"LowerBoundVarJobFindingProb",381,.0202805
"LowerBoundVarJobFindingProb",382,.0272353
"LowerBoundVarJobFindingProb",383,.021551
"LowerBoundVarJobFindingProb",384,.0293714
"LowerBoundVarJobFindingProb",385,.035852
"LowerBoundVarJobFindingProb",386,.0295841
"LowerBoundVarJobFindingProb",387,.0244306
"LowerBoundVarJobFindingProb",388,.0197436
"LowerBoundVarJobFindingProb",389,.0427635
"LowerBoundVarJobFindingProb",390,.0346637
"LowerBoundVarJobFindingProb",391,.019689
"LowerBoundVarJobFindingProb",392,.0324729
"LowerBoundVarJobFindingProb",393,.0313648
"LowerBoundVarJobFindingProb",394,.0307084
"LowerBoundVarJobFindingProb",395,.011127
"LowerBoundVarJobFindingProb",396,.0430498
"LowerBoundVarJobFindingProb",397,.047537
"LowerBoundVarJobFindingProb",398,.0371321
"LowerBoundVarJobFindingProb",399,.018462
"LowerBoundVarJobFindingProb",400,.0324226
"LowerBoundVarJobFindingProb",401,.0445668
"LowerBoundVarJobFindingProb",402,.0466368
"LowerBoundVarJobFindingProb",403,.0412814
"LowerBoundVarJobFindingProb",404,.0288435
"LowerBoundVarJobFindingProb",405,.0211802
"LowerBoundVarJobFindingProb",406,.0251589
"LowerBoundVarJobFindingProb",407,.0300588
"LowerBoundVarJobFindingProb",408,.0295474
"LowerBoundVarJobFindingProb",409,.0312978
"LowerBoundVarJobFindingProb",410,.0281244
"LowerBoundVarJobFindingProb",411,.0316673
"LowerBoundVarJobFindingProb",412,.0314948
"LowerBoundVarJobFindingProb",413,.0276331
"LowerBoundVarJobFindingProb",414,.0248001
"LowerBoundVarJobFindingProb",415,.0270657
"LowerBoundVarJobFindingProb",416,.0361591
"LowerBoundVarJobFindingProb",417,.027528
"LowerBoundVarJobFindingProb",418,.0345539
"LowerBoundVarJobFindingProb",419,.0387299
"LowerBoundVarJobFindingProb",420,.0209861
"LowerBoundVarJobFindingProb",421,.0540575
"LowerBoundVarJobFindingProb",422,.0167775
"LowerBoundVarJobFindingProb",423,.0248124
"LowerBoundVarJobFindingProb",424,.0333444
"LowerBoundVarJobFindingProb",425,.0323378
"LowerBoundVarJobFindingProb",426,.0380667
"LowerBoundVarJobFindingProb",427,.045113
"LowerBoundVarJobFindingProb",428,.0309649
"LowerBoundVarJobFindingProb",429,.0360738
"LowerBoundVarJobFindingProb",430,.0408741
"LowerBoundVarJobFindingProb",431,.0238052
"LowerBoundVarJobFindingProb",432,.0327007
"LowerBoundVarJobFindingProb",433,.0350808
"LowerBoundVarJobFindingProb",434,.048464
"LowerBoundVarJobFindingProb",435,.0184132
"LowerBoundVarJobFindingProb",436,.0204165
"LowerBoundVarJobFindingProb",437,.0342173
"LowerBoundVarJobFindingProb",438,.022362
"LowerBoundVarJobFindingProb",439,.0332217
"LowerBoundVarJobFindingProb",440,.0417036
"LowerBoundVarJobFindingProb",441,.0314125
"LowerBoundVarJobFindingProb",442,.0302948
"LowerBoundVarJobFindingProb",443,.0356737
"LowerBoundVarJobFindingProb",444,.0403798
"LowerBoundVarJobFindingProb",445,.0212409
"LowerBoundVarJobFindingProb",446,.0304036
"LowerBoundVarJobFindingProb",447,.0213565
"LowerBoundVarJobFindingProb",448,.0308892
"LowerBoundVarJobFindingProb",449,.0332098
"LowerBoundVarJobFindingProb",450,.0297437
"LowerBoundVarJobFindingProb",451,.0288782
"LowerBoundVarJobFindingProb",452,.0324167
"LowerBoundVarJobFindingProb",453,.0241785
"LowerBoundVarJobFindingProb",454,.0345924
"LowerBoundVarJobFindingProb",455,.0277584
"LowerBoundVarJobFindingProb",456,.0326038
"LowerBoundVarJobFindingProb",457,.0254402
"LowerBoundVarJobFindingProb",458,.0341237
"LowerBoundVarJobFindingProb",459,.0395601
"LowerBoundVarJobFindingProb",460,.0319946
"LowerBoundVarJobFindingProb",461,.0331131
"LowerBoundVarJobFindingProb",462,.0347796
"LowerBoundVarJobFindingProb",463,.0410721
"LowerBoundVarJobFindingProb",464,.0261966
"LowerBoundVarJobFindingProb",465,.0275446
"LowerBoundVarJobFindingProb",466,.0334233
"LowerBoundVarJobFindingProb",467,.0157731
"LowerBoundVarJobFindingProb",468,.0343705
"LowerBoundVarJobFindingProb",469,.0305495
"LowerBoundVarJobFindingProb",470,.0288292
"LowerBoundVarJobFindingProb",471,.0207898
"LowerBoundVarJobFindingProb",472,.0354362
"LowerBoundVarJobFindingProb",473,.0218874
"LowerBoundVarJobFindingProb",474,.0476288
"LowerBoundVarJobFindingProb",475,.0197622
"LowerBoundVarJobFindingProb",476,.0354235
"LowerBoundVarJobFindingProb",477,.0368643
"LowerBoundVarJobFindingProb",478,.0454329
"LowerBoundVarJobFindingProb",479,.035527
"LowerBoundVarJobFindingProb",480,.0324412
"LowerBoundVarJobFindingProb",481,.030658
"LowerBoundVarJobFindingProb",482,.0420953
"LowerBoundVarJobFindingProb",483,.0194868
"LowerBoundVarJobFindingProb",484,.0492511
"LowerBoundVarJobFindingProb",485,.0208101
"LowerBoundVarJobFindingProb",486,.0283072
"LowerBoundVarJobFindingProb",487,.0225724
"LowerBoundVarJobFindingProb",488,.0453733
"LowerBoundVarJobFindingProb",489,.0384327
"LowerBoundVarJobFindingProb",490,.0340488
"LowerBoundVarJobFindingProb",491,.0226432
"LowerBoundVarJobFindingProb",492,.0394631
"LowerBoundVarJobFindingProb",493,.0357301
"LowerBoundVarJobFindingProb",494,.0186561
"LowerBoundVarJobFindingProb",495,.0365243
"LowerBoundVarJobFindingProb",496,.0277501
"LowerBoundVarJobFindingProb",497,.0295127
"LowerBoundVarJobFindingProb",498,.0427668
"LowerBoundVarJobFindingProb",499,.0405463
"LowerBoundVarJobFindingProb",500,.0384512
"LowerBoundVarJobFindingProb",501,.0287279
"LowerBoundVarJobFindingProb",502,.0450586
"LowerBoundVarJobFindingProb",503,.0154481
"LowerBoundVarJobFindingProb",504,.0222085
